<>,,,,,,,,,,
Number of Respondents:,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,Number of Respondents,Demographic Title,Positive,Neutral,Negative
46,Never,Less than monthly,Monthly,Weekly,Daily or almost daily,,,,,
,Never,Rarely,Sometimes,Often,,,,,,
,Very Low,Low,Moderate,High,Very High,,,,,
Class Year,Respondents,Strength 6BATT,Strength C2,Strength E2,Strength N1,Nonrespondents,,,,
Freshmen,18,62,24,19,19,1,,,,
Sophomores,15,43,16,15,12,0,,,,
Juniors,6,28,9,8,7,2,,,,
Seniors,7,37,12,12,11,5,,,,
Total,46,170,61,54,49,8,,,,
Engagement & Commitment,,,,,,183,All Respondents,93%,5%,2%
I am proud of my work.,1,0,3,20,22,46,,,,
My work has a great deal of personal meaning to me.,1,0,2,14,29,46,,,,
I am committed to my leadership development.,0,0,2,8,36,46,,,,
I know what is expected of me in the unit.,1,0,3,20,21,45,,,,
Cohesion,,,,,,136,All Respondents,83%,5%,12%
Cadets in my unit work well as a team.,6,1,2,30,7,46,,,,
The cadets in my unit trust each other.,5,3,3,16,18,45,,,,
I believe this unit works as a team.,1,0,2,17,25,45,,,,
Connectedness,,,,,,229,All Respondents,93%,5%,3%
I feel like I belong.,0,1,3,20,22,46,,,,
I feel that there are people I can turn to in times of need.,0,1,1,16,28,46,,,,
I think I make things worse for the people in my life.,17,22,6,1,0,46,,,,
My future seems dark to me.,27,17,0,2,0,46,,,,
"I feel like ""part of the family"" among the people I work with.",1,0,1,13,30,45,,,,
Fairness,,,,,,272,All Respondents,91%,6%,4%
"Training opportunities, awards, recognition, and other positive outcomes are distributed fairly.",1,2,2,20,21,46,,,,
Discipline and criticism are administered fairly.,1,1,5,22,17,46,,,,
"Rules, regulations and policies are enforced in this command.",0,0,1,23,21,45,,,,
"Rules, regulations and policies are obeyed in this command.",1,1,0,24,19,45,,,,
I have not experienced or witnessed hazing while assigned to this unit.,0,2,7,9,27,45,,,,
Unit leadership does not tolerate hazing.,1,0,0,11,33,45,,,,
Inclusion,,,,,,275,All Respondents,77%,7%,16%
"Cadets in my unit believe that everyone has worth and value, regardless of their sex, race or ethnicity, or sexual orientation.",5,2,2,14,23,46,,,,
Cadets in my unit build on each other’s ideas and thoughts during the decision-making process. ,5,3,3,22,13,46,,,,
Cadets in my unit would speak up if someone was being excluded.,4,5,6,22,9,46,,,,
Cadets in my unit believe the quality of ideas matter more than who expresses them.,4,4,6,14,18,46,,,,
Cadets in my unit believe that communication goes up and down the unit chain of command.,5,5,2,20,14,46,,,,
Relationships in the unit do not break boundaries.,1,2,0,17,25,45,,,,
Leadership Support - Unit Commander,,,,,,491,All Respondents,85%,10%,4%
I have trust and confidence in my unit's commander.,0,0,3,17,25,45,,,,
My unit's commander listens to what I have to say.,0,0,13,12,19,44,,,,
My unit's commander cares about my personal well-being.,0,3,5,12,25,45,,,,
My unit's commander provides me with opportunities to demonstrate my leadership skills.,0,2,6,14,23,45,,,,
I would not experience reprisal or retaliation from my unit's commander if I went to them with concerns.,0,0,2,12,31,45,,,,
Commander's Calls/All hands/Unit meetings effectively pass on information I need to know.,1,3,9,19,13,45,,,,
Communication flows freely from senior leadership to all levels of the organization.,3,6,7,17,11,44,,,,
My commander is a competent leader.,0,0,0,15,30,45,,,,
"I trust management/leadership to handle complaints, problems, or issues seriously.",1,1,1,18,23,44,,,,
I trust that my well-being is supported by Unit leadership and command team (CO/XO/1SGT),1,0,1,15,28,45,,,,
I feel that the Commander will use the information from this survey to improve the command.,0,1,3,18,22,44,,,,
Leadership Support - Immediate Superior,,,,,,276,All Respondents,89%,5%,5%
I have trust and confidence in the first cadet in my chain of command.,2,1,3,13,27,46,,,,
The first cadet in my chain of command listens to what I have to say.,1,1,4,12,28,46,,,,
The first cadet in my chain of command treats me with respect.,1,1,2,11,31,46,,,,
The first cadet in my chain of command cares about my eprsonal well-being.,1,0,1,14,30,46,,,,
The first cadet in my cahin of command provides me with opportunities to demonstrate my leadership skills.,1,3,2,17,23,46,,,,
I would not experience reprisal or retaliation from the first cadet in my chain of command if I went to them with concerns.,1,2,2,12,29,46,,,,
Morale,,,,,,92,All Respondents,80%,15%,4%
"Overall, how would you rate the current level of morale among cadets in your current unit?",1,0,6,29,10,46,,,,
"Overall, how would you rate your own current level of morale?",1,2,8,18,17,46,,,,
Safe Storage for Lethal Means,,,,,,46,All Respondents,98%,2%,0%
"If I had a firearm in my living space, I would store it unloaded or use a secure storage container/device.",0,0,1,6,39,46,,,,
Transformational Leadership - Commander,,,,,,135,All Respondents,95%,3%,2%
My unit's commander communicates a clear and motivating vision of the future.,0,0,2,15,28,45,,,,
My unit's commander supports and encourages the professional development of people in my current unit.,0,2,0,13,30,45,,,,
My unit's commander encourages people in my current unit to think about problems in new ways.,0,1,2,19,23,45,,,,
Transformational Leadership – Senior NCO/SEL,,,,,,137,All Respondents,94%,4%,1%
My SEL/1SGT communicates a clear and motivating vision of the future.,0,0,2,17,26,45,,,,
My SEL/1SGT supports and encourages the professional development of people in my current unit.,0,1,1,12,32,46,,,,
My SEL/1SGT encourages people in my current unit to think about problems in new ways.,0,1,3,9,33,46,,,,
Work-Life Balance,,,,,,91,All Respondents,76%,16%,8%
I can easily balance the demands of cadet life.,1,2,11,25,7,46,,,,
I have sufficient time in my duty day to conduct my core duties.,1,3,4,28,9,45,,,,
Recognition,,,,,,135,All Respondents,84%,11%,4%
I am recognized/rewarded for my duty performance.,1,2,6,23,13,45,,,,
Participation for community service is recognized.,1,1,7,20,16,45,,,,
The Commander understands what my job entails.,0,1,2,13,29,45,,,,
Alcohol Impairing Memory,,,,,,46,All Respondents,89%,9%,2%
"Thinking about your alcohol use in the last four months, how often have you been unable to remember what happened the night before because you had been drinking?",41,0,4,1,0,46,,,,
Binge Drinking,,,,,,46,All Respondents,72%,20%,9%
"Thinking about your alcohol use in the last four months, how often have you had five or more drinks on one occasion?",33,7,2,4,0,46,,,,
Passive Leadership - Commander,,,,,,90,All Respondents,69%,20%,11%
My unit's commander will not take action until negative behaviors become bigger problems.,9,16,13,5,2,45,,,,
My unit's commander does not address problems brought to their attention.,19,18,5,2,1,45,,,,
Passive Leadership - Senior NCO/SEL,,,,,,90,All Respondents,79%,9%,12%
My unit's commander will not take action until negative behaviors become bigger problems.,15,17,7,4,3,46,,,,
My unit's commander does not address problems brought to their attention.,23,16,1,1,3,44,,,,
Racially Harassing Behaviors,,,,,,230,All Respondents,89%,,11%
"How often does someone from your current unit make you uncomfortable, angry, or upset by telling racial/ethnic jokes?",38,4,4,0,0,46,,,,
"How often does someone from your current unit make you uncomfortable, angry, or upset by expressing stereotypes about racial/ethnic groups?",38,5,3,0,0,46,,,,
"How often does someone from your current unit make you uncomfortable, angry, or upset by using offensive racial/ethnic terms?",37,6,2,1,0,46,,,,
"How often does someone from your current unit make you uncomfortable, angry, or upset by excluding you because of your race/ethnicity?",46,0,0,0,0,46,,,,
"How often does someone from your current unit make you uncomfortable, angry, or upset by showing you a lack of respect because of your race/ethnicity?",45,1,0,0,0,46,,,,
Sexist Behaviors,,,,,,92,All Respondents,80%,,20%
"How often does someone from your current unit mistreat, exclude, or insult you because of your gender?",43,3,0,0,0,46,,,,
"How often does someone from your current unit use derogatory slurs, make comments, or tell jokes concerning sexual orientation or gender identity?",31,10,4,1,0,46,,,,
Sexually Harassing Behaviors,,,,,,229,All Respondents,94%,,6%
"How often does someone from your current unit tell sexual jokes that make you uncomfortable, angry, or upset?",40,5,0,1,0,46,,,,
"How often does someone from your current unit embaress, anger, or upset you by suggesting that you do not act how a man or a woman is supposed to act?",43,2,0,1,0,46,,,,
"How often does someone from your current unit display, show, or send sexually explicit materials (such as pictures or videos) that make you uncomfortable, angry, or upset?",44,1,0,1,0,46,,,,
"How often does someone from your current unit make sexual comments about your appearance or body that make you uncomfortable, angry, or upset?",43,1,0,1,0,45,,,,
How often does someone from your current unit intentionally touch you in unwanted sexual ways?,45,1,0,0,0,46,,,,
Stress,,,,,,52,All Respondents,69%,,31%
"In the past four months, how often have you felt nervous or stressed?",2,3,1,0,0,6,,,,
"In the past four months, how often have you found that you could not cope with all of the things you had to do?",14,17,12,3,0,46,,,,
Toxic Leadership - Immediate Superior,,,,,,180,All Respondents,89%,5%,6%
The first cadet in my chain of command ridicules people in my unit,26,12,4,2,1,45,,,,
The first cadet in my chain of command acts only in the best interest of their own advancement.,27,14,2,2,0,45,,,,
The first cadet in my chain of command ignores input from people in my current unit that they do not agree with.,27,12,2,3,1,45,,,,
The cadet immediately above me in my cadet chain of command sets the right example with his/her actions.,1,0,1,16,27,45,,,,
Toxic Leadership - Senior NCO/SEL,,,,,,134,All Respondents,86%,10%,4%
My unit's SEL/1SGT ridicules people in my unit.,27,11,5,1,1,45,,,,
My unit's SEL/1SGT acts only in the best interest of their own advancement.,27,12,4,2,0,45,,,,
My unit's SEL/1SGT ignores input from people in my current unit that they do not agree with.,27,11,4,1,1,44,,,,
Toxic Leadership - Unit Commander,,,,,,138,All Respondents,87%,8%,5%
My unit's commader ridicules people in my unit.,34,9,3,0,0,46,,,,
My unit's commader acts only in the best interest of their own advancement.,32,8,2,3,1,46,,,,
My unit's commader ignores input from people in my current unit that they do not agree with.,28,9,6,3,0,46,,,,
Workplace Hostility,,,,,,184,All Respondents,59%,30%,10%
