<>,,,,,,,,,,
Number of Respondents:,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,Number of Respondents,Demographic Title,Positive,Neutral,Negative
35,Never,Less than monthly,Monthly,Weekly,Daily or almost daily,,,,,
,Never,Rarely,Sometimes,Often,,,,,,
,Very Low,Low,Moderate,High,Very High,,,,,
Class Year,Respondents,Strength 6BATT,Strength C2,Strength E2,Strength N1,Nonrespondents,,,,
Freshmen,16,62,24,19,19,3,,,,
Sophomores,7,43,16,15,12,5,,,,
Juniors,6,28,9,8,7,1,,,,
Seniors,6,37,12,12,11,5,,,,
Total,35,170,61,54,49,14,,,,
Engagement & Commitment,,,,,,139,All Respondents,85%,9%,6%
I am proud of my work.,0,1,4,26,4,35,,,,
My work has a great deal of personal meaning to me.,0,2,2,17,14,35,,,,
I am committed to my leadership development.,0,1,2,10,21,34,,,,
I know what is expected of me in the unit.,1,4,4,19,7,35,,,,
Cohesion,,,,,,105,All Respondents,65%,21%,14%
Cadets in my unit work well as a team.,1,4,9,17,4,35,,,,
The cadets in my unit trust each other.,1,6,4,21,3,35,,,,
I believe this unit works as a team.,0,3,9,18,5,35,,,,
Connectedness,,,,,,175,All Respondents,79%,11%,10%
I feel like I belong.,0,2,5,21,7,35,,,,
I feel that there are people I can turn to in times of need.,0,1,1,25,8,35,,,,
I think I make things worse for the people in my life.,6,19,3,6,1,35,,,,
My future seems dark to me.,13,15,3,4,0,35,,,,
"I feel like ""part of the family"" among the people I work with.",1,3,7,17,7,35,,,,
Fairness,,,,,,210,All Respondents,70%,16%,13%
"Training opportunities, awards, recognition, and other positive outcomes are distributed fairly.",1,5,8,16,5,35,,,,
Discipline and criticism are administered fairly.,2,6,7,16,4,35,,,,
"Rules, regulations and policies are enforced in this command.",1,4,4,20,6,35,,,,
"Rules, regulations and policies are obeyed in this command.",1,1,10,17,6,35,,,,
I have not experienced or witnessed hazing while assigned to this unit.,1,5,2,12,15,35,,,,
Unit leadership does not tolerate hazing.,1,0,3,16,15,35,,,,
Inclusion,,,,,,210,All Respondents,63%,17%,20%
"Cadets in my unit believe that everyone has worth and value, regardless of their sex, race or ethnicity, or sexual orientation.",3,1,6,14,11,35,,,,
Cadets in my unit build on each other’s ideas and thoughts during the decision-making process. ,3,7,8,14,3,35,,,,
Cadets in my unit would speak up if someone was being excluded.,2,5,6,18,4,35,,,,
Cadets in my unit believe the quality of ideas matter more than who expresses them.,4,7,3,13,8,35,,,,
Cadets in my unit believe that communication goes up and down the unit chain of command.,6,4,7,14,4,35,,,,
Relationships in the unit do not break boundaries.,1,0,5,17,12,35,,,,
Leadership Support - Unit Commander,,,,,,385,All Respondents,68%,18%,14%
I have trust and confidence in my unit's commander.,2,5,7,14,7,35,,,,
My unit's commander listens to what I have to say.,2,1,5,20,7,35,,,,
My unit's commander cares about my personal well-being.,1,0,6,19,9,35,,,,
My unit's commander provides me with opportunities to demonstrate my leadership skills.,0,4,10,16,5,35,,,,
I would not experience reprisal or retaliation from my unit's commander if I went to them with concerns.,1,0,4,17,13,35,,,,
Commander's Calls/All hands/Unit meetings effectively pass on information I need to know.,1,4,6,15,9,35,,,,
Communication flows freely from senior leadership to all levels of the organization.,2,7,9,16,1,35,,,,
My commander is a competent leader.,1,6,6,16,6,35,,,,
"I trust management/leadership to handle complaints, problems, or issues seriously.",1,6,6,14,8,35,,,,
I trust that my well-being is supported by Unit leadership and command team (CO/XO/1SGT),0,4,6,16,9,35,,,,
